À—À˜’º”√◊ ‘¥±»¿˝	0.00869318
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.317314
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.673992
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1358.2340	2	2193396.6005	2193203.0921	348.4609	348.4609	30.9394	30.9393	-4038.2396	-4036.7937	-1.0000	Œ»∂®∫Ωº£
1358.4000	1	2193404.1101	2192533.0262	348.4515	348.4516	30.9543	30.9545	-4037.3819	-4036.3608	-1.0000	Œ»∂®∫Ωº£
1358.4340	2	2192588.9200	2192395.7866	348.4496	348.4497	30.9576	30.9576	-4039.0770	-4036.2720	-1.0000	Œ»∂®∫Ωº£
1358.6000	1	2192596.6639	2191725.8074	348.4402	348.4403	30.9726	30.9727	-4036.2946	-4035.8383	-1.0000	Œ»∂®∫Ωº£
1358.6340	2	2191781.3650	2191588.5855	348.4383	348.4384	30.9759	30.9758	-4037.3150	-4035.7495	-1.0000	Œ»∂®∫Ωº£
1358.8000	1	2191789.3103	2190918.6931	348.4289	348.4290	30.9909	30.9910	-4037.3614	-4035.3151	-1.0000	Œ»∂®∫Ωº£
1358.8340	2	2190973.9508	2190781.4890	348.4271	348.4271	30.9942	30.9941	-4036.2292	-4035.2261	-1.0000	Œ»∂®∫Ωº£
1359.0000	1	2190982.0845	2190111.6836	348.4177	348.4178	31.0092	31.0092	-4035.4954	-4034.7910	-1.0000	Œ»∂®∫Ωº£
1359.0340	2	2190166.6296	2189974.4973	348.4158	348.4158	31.0124	31.0123	-4037.1862	-4034.7019	-1.0000	Œ»∂®∫Ωº£
1359.2000	1	2190174.9517	2189304.7790	348.4064	348.4064	31.0275	31.0275	-4036.1613	-4034.2661	-1.0000	Œ»∂®∫Ωº£
1359.2340	2	2189359.4318	2189167.6105	348.4045	348.4045	31.0307	31.0306	-4035.6864	-4034.1768	-1.0000	Œ»∂®∫Ωº£
1359.4000	1	2189367.9598	2188497.9794	348.3950	348.3951	31.0457	31.0458	-4034.0566	-4033.7404	-1.0000	Œ»∂®∫Ωº£
1359.4340	2	2188552.3687	2188360.8289	348.3931	348.3932	31.0490	31.0489	-4034.7423	-4033.6509	-1.0000	Œ»∂®∫Ωº£
1359.6000	1	2188561.0705	2187691.2851	348.3837	348.3838	31.0640	31.0641	-4034.6752	-4033.2138	-1.0000	Œ»∂®∫Ωº£
1359.6340	2	2187745.4530	2187554.1524	348.3817	348.3819	31.0673	31.0672	-4033.6496	-4033.1242	-1.0000	Œ»∂®∫Ωº£
1359.8000	1	2187754.3056	2186884.6961	348.3724	348.3724	31.0823	31.0824	-4033.3763	-4032.6864	-1.0000	Œ»∂®∫Ωº£
1359.8340	2	2186938.6317	2186747.5814	348.3704	348.3705	31.0856	31.0855	-4034.7298	-4032.5967	-1.0000	Œ»∂®∫Ωº£
1360.0000	1	2186947.6208	2186078.2128	348.3611	348.3611	31.1006	31.1007	-4034.4467	-4032.1581	-1.0000	Œ»∂®∫Ωº£
1360.0340	2	2186131.9255	2185941.1160	348.3590	348.3592	31.1039	31.1038	-4033.5597	-4032.0683	-1.0000	Œ»∂®∫Ωº£
1360.2000	1	2186141.0273	2185271.8351	348.3497	348.3497	31.1189	31.1190	-4033.5042	-4031.6290	-1.0000	Œ»∂®∫Ωº£
1360.2340	2	2185325.3346	2185134.7564	348.3476	348.3478	31.1222	31.1221	-4032.9576	-4031.5390	-1.0000	Œ»∂®∫Ωº£
1360.4000	1	2185334.5441	2184465.5634	348.3383	348.3383	31.1372	31.1373	-4032.4291	-4031.0991	-1.0000	Œ»∂®∫Ωº£
1360.4340	2	2184518.8617	2184328.5027	348.3363	348.3364	31.1406	31.1404	-4032.3387	-4031.0089	-1.0000	Œ»∂®∫Ωº£
1360.6000	1	2184528.1693	2183659.3977	348.3269	348.3269	31.1555	31.1556	-4031.8997	-4030.5683	-1.0000	Œ»∂®∫Ωº£
1360.6340	2	2183712.5258	2183522.3551	348.3249	348.3250	31.1589	31.1587	-4031.0395	-4030.4780	-1.0000	Œ»∂®∫Ωº£
1360.8000	1	2183721.9471	2182853.3383	348.3155	348.3155	31.1739	31.1740	-4029.8396	-4030.0367	-1.0000	Œ»∂®∫Ωº£
1360.8340	2	2182906.2724	2182716.3137	348.3134	348.3136	31.1772	31.1771	-4032.2872	-4029.9463	-1.0000	Œ»∂®∫Ωº£
1361.0000	1	2182915.8737	2182047.3853	348.3041	348.3041	31.1922	31.1923	-4029.3336	-4029.5043	-1.0000	Œ»∂®∫Ωº£
1361.0340	2	2182100.1236	2181910.3788	348.3020	348.3021	31.1955	31.1954	-4031.1213	-4029.4137	-1.0000	Œ»∂®∫Ωº£
1361.2000	1	2182109.8862	2181241.5389	348.2927	348.2926	31.2106	31.2106	-4030.7652	-4028.9710	-1.0000	Œ»∂®∫Ωº£
1361.2340	2	2181294.1089	2181104.5505	348.2906	348.2907	31.2138	31.2138	-4029.4934	-4028.8802	-1.0000	Œ»∂®∫Ωº£
1361.4000	1	2181304.0204	2180435.7992	348.2812	348.2812	31.2289	31.2290	-4029.0973	-4028.4368	-1.0000	Œ»∂®∫Ωº£
1361.4340	2	2180488.2021	2180298.8290	348.2791	348.2792	31.2322	31.2321	-4029.8095	-4028.3459	-1.0000	Œ»∂®∫Ωº£
1361.6000	1	2180498.2403	2179630.1664	348.2697	348.2697	31.2473	31.2474	-4029.7530	-4027.9018	-1.0000	Œ»∂®∫Ωº£
1361.6340	2	2179682.4434	2179493.2144	348.2676	348.2678	31.2505	31.2505	-4027.8458	-4027.8108	-1.0000	Œ»∂®∫Ωº£
1361.8000	1	2179692.5975	2178824.6407	348.2582	348.2582	31.2657	31.2657	-4027.5026	-4027.3660	-1.0000	Œ»∂®∫Ωº£
1361.8340	2	2178876.8057	2178687.7070	348.2562	348.2563	31.2689	31.2688	-4028.1284	-4027.2748	-1.0000	Œ»∂®∫Ωº£
1362.0000	1	2178887.0745	2178019.2223	348.2468	348.2467	31.2841	31.2841	-4027.4149	-4026.8292	-1.0000	Œ»∂®∫Ωº£
1362.0340	2	2178071.3050	2177882.3068	348.2447	348.2448	31.2873	31.2872	-4026.9580	-4026.7379	-1.0000	Œ»∂®∫Ωº£
1362.2000	1	2178081.6764	2177213.9113	348.2353	348.2352	31.3024	31.3025	-4026.7092	-4026.2917	-1.0000	Œ»∂®∫Ωº£
1362.2340	2	2177265.8952	2177077.0141	348.2332	348.2333	31.3057	31.3056	-4027.9179	-4026.2002	-1.0000	Œ»∂®∫Ωº£
1362.4000	1	2177276.4183	2176408.7079	348.2238	348.2237	31.3208	31.3209	-4025.5478	-4025.7533	-1.0000	Œ»∂®∫Ωº£
1362.4340	2	2176460.6064	2176271.8290	348.2216	348.2217	31.3241	31.3240	-4026.3865	-4025.6617	-1.0000	Œ»∂®∫Ωº£
1362.6000	1	2176471.3005	2175603.6123	348.2123	348.2121	31.3392	31.3393	-4024.9454	-4025.2140	-1.0000	Œ»∂®∫Ωº£
1362.6340	2	2175655.4323	2175466.7517	348.2101	348.2102	31.3425	31.3424	-4025.9850	-4025.1223	-1.0000	Œ»∂®∫Ωº£
1362.8000	1	2175666.3144	2174798.6246	348.2007	348.2006	31.3577	31.3577	-4024.5776	-4024.6739	-1.0000	Œ»∂®∫Ωº£
1362.8340	2	2174850.3335	2174661.7823	348.1986	348.1986	31.3609	31.3608	-4026.7369	-4024.5820	-1.0000	Œ»∂®∫Ωº£
1363.0000	1	2174861.4608	2173993.7450	348.1891	348.1890	31.3761	31.3761	-4023.9228	-4024.1329	-1.0000	Œ»∂®∫Ωº£
1363.0340	2	2174045.3174	2173856.9211	348.1870	348.1871	31.3793	31.3792	-4026.0527	-4024.0409	-1.0000	Œ»∂®∫Ωº£
1363.2000	1	2174056.7305	2173188.9737	348.1775	348.1774	31.3945	31.3945	-4023.5681	-4023.5911	-1.0000	Œ»∂®∫Ωº£
1363.2340	2	2173240.4330	2173052.1683	348.1755	348.1755	31.3977	31.3977	-4023.9274	-4023.4989	-1.0000	Œ»∂®∫Ωº£
